tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15,estado_oculto
2.02097398869228e-05,-4.46750236733351e-05,0,1.0000,0.6000,0.4000,0.4667,0
1.39451603899943e-05,3.28633245771925e-06,0,0.6667,0.6000,0.3000,0.4667,0
2.28544195124414e-05,-1.80066072061891e-05,0,0.3333,0.4000,0.2000,0.4000,0
2.26038309847354e-06,-2.38280676967406e-06,0,0.3333,0.2000,0.2000,0.4000,0
-2.93498196697328e-05,-1.53714790940285e-05,0,0.3333,0.2000,0.3000,0.4667,0
9.41279085964197e-06,-9.66703737503849e-06,0,0.3333,0.2000,0.4000,0.4667,0
1.07642817965825e-05,-9.48830802371958e-06,0,0.0000,0.0000,0.4000,0.4667,0
2.08032433874905e-05,-1.99077931029024e-05,0,0.0000,0.0000,0.4000,0.4667,0
2.53413036261918e-05,2.1588581148535e-05,0,0.0000,0.2000,0.5000,0.5333,0
-4.97171604365576e-05,-3.52089082298335e-05,0,0.0000,0.4000,0.6000,0.5333,0
1.62697615451179e-05,-2.37528388424835e-06,0,0.3333,0.6000,0.6000,0.5333,0
3.73526404473523e-06,-1.92071256606141e-05,0,0.6667,0.8000,0.7000,0.5333,0
3.31852279487066e-05,1.03017300716601e-05,0,1.0000,0.8000,0.7000,0.6000,0
-3.06741276290268e-05,-4.37964699813165e-05,0,1.0000,0.8000,0.7000,0.5333,0
2.26801284952671e-06,-2.55601971730357e-05,0,0.6667,0.8000,0.6000,0.4667,0
1.68718561326386e-05,-2.59747212112416e-05,0,0.6667,0.6000,0.5000,0.4667,0
9.08099082153058e-06,-2.48588985414244e-05,0,0.6667,0.6000,0.4000,0.4000,0
8.99127098819008e-06,-1.69477498275228e-05,0,0.6667,0.6000,0.5000,0.4000,0
1.90341543202521e-05,-1.15528073365567e-05,0,0.6667,0.6000,0.4000,0.4000,0
1.41676837301929e-05,-1.47323053170112e-05,0,0.3333,0.4000,0.3000,0.3333,0
3.47557470377069e-05,-1.54921272041975e-05,0,0.6667,0.4000,0.4000,0.3333,0
3.86687752325088e-05,-2.80629137705546e-06,0,0.3333,0.2000,0.3000,0.2667,0
3.07816626445856e-05,-2.22528651647735e-05,0,0.3333,0.4000,0.3000,0.2667,0
2.73271962214494e-05,-2.50377206612029e-06,0,0.0000,0.2000,0.3000,0.2000,0
2.65212074737065e-05,-2.18464429053711e-05,0,0.3333,0.2000,0.3000,0.2000,0
2.57361125477473e-06,-2.72343022515997e-05,0,0.3333,0.4000,0.3000,0.2000,0
3.60066042048857e-05,-3.3146654459415e-05,0,0.3333,0.4000,0.3000,0.2000,0
-1.19487112897332e-05,-5.92162268731045e-06,0,0.3333,0.2000,0.2000,0.1333,0
-8.92152547748992e-06,-3.00080428132787e-05,0,0.3333,0.4000,0.2000,0.1333,0
-1.81592113221996e-05,-4.87048637296539e-05,0,0.3333,0.4000,0.2000,0.1333,0
1.1360432949914e-07,-8.7989583335002e-06,0,0.3333,0.2000,0.1000,0.0667,0
-1.57670929183951e-05,-4.40757139585912e-05,0,0.3333,0.2000,0.1000,0.1333,0
-1.14500107883941e-05,-3.40609985869378e-05,0,0.3333,0.2000,0.1000,0.2000,0
6.56661541142967e-06,-4.12514564231969e-05,0,0.0000,0.0000,0.0000,0.2000,0
-2.79117321042577e-05,-3.49999354511965e-05,0,0.0000,0.0000,0.0000,0.2000,0
-1.22131541502313e-05,-4.52175700047519e-05,0,0.0000,0.0000,0.0000,0.2667,0
1.69964732776862e-05,-7.03792875356157e-06,0,0.0000,0.0000,0.1000,0.3333,0
-2.67713153334626e-06,-4.40265976067167e-05,0,0.0000,0.0000,0.2000,0.3333,0
-1.23378204079927e-05,-3.4314209187869e-05,0,0.0000,0.0000,0.3000,0.3333,0
-9.19733429327607e-06,-4.78367328469176e-05,0,0.0000,0.0000,0.3000,0.3333,0
-1.16138380690245e-05,-4.40561634604819e-05,0,0.0000,0.0000,0.4000,0.3333,0
3.59484056389192e-06,-2.88822684524348e-05,0,0.0000,0.2000,0.5000,0.4000,0
-1.02288777270587e-05,-2.1832865968463e-05,0,0.0000,0.4000,0.5000,0.4000,0
2.22090984607348e-05,4.03909798478708e-05,0,0.3333,0.6000,0.5000,0.4000,0
1.20948861876968e-05,1.15716247819364e-05,0,0.6667,0.6000,0.5000,0.4000,0
-1.69782367720472e-06,-1.23944810184184e-05,0,1.0000,0.8000,0.5000,0.4000,0
-9.31392332859104e-06,6.84034966980107e-06,0,0.6667,0.8000,0.5000,0.3333,0
2.18446039070841e-05,1.24300722745829e-05,0,0.6667,0.6000,0.4000,0.2667,0
5.40496387202438e-07,-7.716191248619e-06,0,0.6667,0.4000,0.3000,0.2000,0
9.95700065686833e-06,-2.77681629086146e-05,0,0.6667,0.4000,0.3000,0.2000,0
6.53522602078738e-06,-1.56056667037774e-05,0,0.3333,0.2000,0.2000,0.2000,0
2.40842546190834e-05,1.35362379296566e-05,0,0.0000,0.2000,0.1000,0.2000,0
2.18952372961212e-05,1.38682253236766e-05,0,0.0000,0.2000,0.1000,0.2667,0
1.56200658238959e-05,5.21267338626785e-06,0,0.3333,0.2000,0.1000,0.2667,0
3.22999148920644e-05,1.26985451061046e-05,0,0.3333,0.2000,0.1000,0.2667,0
1.73132702911971e-05,-4.97331438964466e-06,0,0.3333,0.2000,0.2000,0.2667,0
1.52479822190799e-06,-1.84190503205173e-05,0,0.0000,0.0000,0.2000,0.2000,0
8.79745493875816e-06,-1.30534908748814e-05,0,0.0000,0.0000,0.3000,0.2000,0
7.29197017790284e-06,-6.04537444814923e-06,0,0.0000,0.0000,0.3000,0.2000,0
2.86350459646201e-05,1.6238916941802e-05,0,0.0000,0.0000,0.3000,0.2000,0
1.1112482752651e-05,-1.65921155712567e-05,0,0.0000,0.2000,0.3000,0.2000,0
2.28577982852585e-06,-1.76408793777227e-05,0,0.0000,0.4000,0.3000,0.2000,0
2.67559062194778e-05,3.70102361557656e-06,0,0.3333,0.6000,0.3000,0.2000,0
-5.7647525864013e-06,-2.71714470727602e-05,0,0.6667,0.6000,0.3000,0.2000,0
-2.14707361010369e-05,8.64069170347648e-06,0,1.0000,0.6000,0.3000,0.2000,0
-3.62163373210933e-05,2.36098130699247e-05,0,0.6667,0.4000,0.2000,0.1333,0
-1.93932082765969e-05,2.89024210360367e-05,0,0.3333,0.2000,0.1000,0.0667,0
-4.58916292700451e-05,2.32181282626698e-05,0,0.0000,0.0000,0.0000,0.0000,0
-5.07795666635502e-05,2.24973082367796e-05,0,0.0000,0.0000,0.0000,0.0000,0
-1.2453209819796e-05,3.14018143399153e-05,0,0.0000,0.0000,0.0000,0.0000,0
-2.59991556958994e-05,3.36495722876862e-05,0,0.0000,0.0000,0.0000,0.0000,0
-2.31208050536225e-05,2.19733774429187e-05,0,0.0000,0.0000,0.0000,0.0000,0
3.6471159546636e-05,2.03474337467924e-05,0,0.0000,0.0000,0.0000,0.0000,0
