tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15
-2.30734731303528e-05,-6.09177004662342e-06,2,0.6667,0.6000,0.4000,0.2667
-6.32689334452152e-05,5.74964033148717e-05,2,0.6667,0.4000,0.3000,0.2000
-4.17943774664309e-05,3.31405535689555e-05,2,0.6667,0.4000,0.3000,0.2000
-1.94944059330737e-05,2.44076545641292e-05,2,0.3333,0.2000,0.2000,0.2000
-5.58626488782465e-05,2.0305291400291e-05,2,0.0000,0.2000,0.1000,0.2000
-7.99222834757529e-05,6.40350708636106e-06,2,0.0000,0.2000,0.1000,0.2667
-5.58276806259528e-05,-4.16403890994843e-05,2,0.3333,0.2000,0.1000,0.2667
-3.53327450284269e-05,-2.49792046815855e-05,2,0.3333,0.2000,0.1000,0.2667
-6.44553801976144e-05,8.37704283185303e-05,2,0.3333,0.2000,0.2000,0.2667
-7.05539496266283e-05,-2.03331842385523e-06,2,0.0000,0.0000,0.2000,0.2000
-7.05539496266283e-05,-2.03331842385523e-06,2,0.0000,0.0000,0.3000,0.2000
-7.05539496266283e-05,-2.03331842385523e-06,2,0.0000,0.0000,0.3000,0.2000
-2.42879650613759e-05,6.88379532221006e-06,2,0.0000,0.0000,0.3000,0.2000
-6.59505531075411e-05,-1.71322590176715e-05,2,0.0000,0.2000,0.3000,0.2000
-7.05539496266283e-05,-2.03331842385523e-06,2,0.0000,0.4000,0.3000,0.2000
-2.42879650613759e-05,6.88379532221006e-06,2,0.3333,0.6000,0.3000,0.2000
-7.05539496266283e-05,-2.03331842385523e-06,2,0.6667,0.6000,0.3000,0.2000
4.59043658338487e-05,4.79136069770902e-05,2,1.0000,0.6000,0.3000,0.2000
4.59043658338487e-05,4.79136069770902e-05,2,0.6667,0.4000,0.2000,0.1333
2.84378547803499e-05,8.51145741762593e-05,2,0.3333,0.2000,0.1000,0.0667
2.13226958294399e-05,6.43737148493528e-05,2,0.0000,0.0000,0.0000,0.0000
6.62634238324245e-06,6.08187474426813e-05,2,0.0000,0.0000,0.0000,0.0000
5.47818353879848e-06,6.00251296418719e-05,2,0.0000,0.0000,0.0000,0.0000
4.25727193942294e-05,4.09675812989008e-05,2,0.0000,0.0000,0.0000,0.0000
4.25727193942294e-05,4.09675812989008e-05,2,0.0000,0.0000,0.0000,0.0000
-3.80795754608698e-05,2.31204485316994e-05,2,0.0000,0.0000,0.0000,0.0000
-2.37626791204093e-05,5.20958528795745e-05,2,0.0000,0.0000,0.0000,0.0000
-4.04609818360768e-05,-4.66477904410567e-05,2,0.0000,0.0000,0.0000,0.0000
-5.96978279645555e-05,-1.33264366013464e-05,2,0.0000,0.0000,0.0000,0.0000
-3.56501041096635e-05,-8.34739112178795e-05,2,0.0000,0.0000,0.0000,0.0000
1.3864695574739e-05,4.71917264803778e-05,2,0.0000,0.0000,0.0000,0.0000
-3.18210186378565e-05,-5.47279305465054e-05,2,0.0000,0.0000,0.0000,0.0000
-3.18210186378565e-05,-5.47279305465054e-05,2,0.0000,0.0000,0.0000,0.0667
1.12689067464089e-05,-1.94624572031898e-05,2,0.0000,0.0000,0.0000,0.1333
-4.35498513979837e-05,-5.4757205361966e-05,2,0.0000,0.0000,0.0000,0.2000
3.62243690688047e-06,-6.48900459054857e-05,2,0.0000,0.0000,0.0000,0.2667
3.62243690688047e-06,-6.48900459054857e-05,2,0.0000,0.0000,0.0000,0.3333
6.37738485238515e-05,1.37994911710848e-05,2,0.0000,0.0000,0.1000,0.3333
5.38610038347542e-05,3.96216091758106e-06,2,0.0000,0.0000,0.2000,0.3333
7.44314384064637e-05,-1.93885316548403e-05,2,0.0000,0.0000,0.3000,0.3333
6.23470696154982e-05,2.14498249988537e-05,2,0.0000,0.0000,0.4000,0.3333
6.93476904416457e-05,4.70897139166482e-05,2,0.0000,0.0000,0.5000,0.3333
4.76911227451637e-05,2.98954582831357e-05,2,0.0000,0.2000,0.5000,0.4000
6.93476904416457e-05,4.70897139166482e-05,2,0.0000,0.4000,0.5000,0.4667
6.22357856627787e-06,2.09414592973189e-05,2,0.3333,0.6000,0.5000,0.5333
2.68331805273192e-05,-3.24884399560688e-06,2,0.6667,0.8000,0.5000,0.6000
-3.34920332534239e-05,1.53358741954435e-05,2,1.0000,1.0000,0.5000,0.6000
-3.53446716871986e-06,-2.40127628785558e-05,2,1.0000,0.8000,0.5000,0.5333
-7.61577321100049e-05,3.86529609386344e-06,2,1.0000,0.6000,0.5000,0.4667
-7.57358866394497e-05,1.2186979802209e-05,2,0.6667,0.4000,0.5000,0.4667
-6.24512758804485e-05,-1.31133620016044e-05,2,0.3333,0.2000,0.5000,0.4000
-9.43786290008575e-06,-5.0275352805329e-06,2,0.0000,0.0000,0.4000,0.3333
-9.43786290008575e-06,-5.0275352805329e-06,2,0.0000,0.2000,0.4000,0.4000
-1.57042541104602e-05,3.03333727060817e-05,2,0.0000,0.4000,0.4000,0.4667
-3.52111819665879e-05,7.15736896381713e-05,2,0.3333,0.6000,0.5000,0.5333
-2.84129919236875e-06,3.26115550706163e-05,2,0.6667,0.8000,0.5000,0.5333
2.14479532587575e-05,4.00549179175869e-05,2,1.0000,0.8000,0.5000,0.5333
4.05104583478533e-05,-2.00136601051781e-05,2,1.0000,0.6000,0.5000,0.4667
-1.57042541104602e-05,3.03333727060817e-05,2,0.6667,0.4000,0.5000,0.4000
6.03156549914274e-05,-5.34673563379329e-06,2,0.3333,0.4000,0.5000,0.3333
3.78588192688767e-05,-1.70871917362092e-05,2,0.0000,0.2000,0.4000,0.2667
4.5696877350565e-05,-6.32376249996014e-05,2,0.3333,0.2000,0.4000,0.2667
2.23667848331388e-05,-2.57597275776789e-05,2,0.3333,0.4000,0.4000,0.2667
1.17392955871765e-05,-3.80665624106769e-05,2,0.3333,0.6000,0.4000,0.2667
1.85795106517617e-05,0.000122243844089098,2,0.3333,0.6000,0.3000,0.2000
-2.95896734314738e-06,0.000118947427836247,2,0.6667,0.6000,0.3000,0.2000
2.0036652131239e-05,1.81024042831268e-05,2,1.0000,0.6000,0.3000,0.2000
1.36984817800112e-05,7.28996456018649e-05,2,0.6667,0.4000,0.2000,0.1333
-2.42739370150957e-05,2.32999354921049e-05,2,0.3333,0.2000,0.1000,0.0667
9.74991053226404e-05,0.00011545438610483,2,0.0000,0.0000,0.0000,0.0000
6.42402228550054e-05,9.66227962635458e-05,2,0.0000,0.0000,0.0000,0.0000
-1.53559108184709e-06,3.63242616003845e-05,2,0.0000,0.0000,0.0000,0.0000
6.42402228550054e-05,9.66227962635458e-05,2,0.0000,0.0000,0.0000,0.0000
8.01304777269252e-05,-5.36557017767336e-05,2,0.0000,0.0000,0.0000,0.0000
1.20473887363914e-05,6.51417431072332e-05,2,0.0000,0.0000,0.0000,0.0000
8.01304777269252e-05,-5.36557017767336e-05,2,0.0000,0.0000,0.0000,0.0000
6.24548192718066e-05,-4.14503883803263e-05,2,0.0000,0.0000,0.0000,0.0000
